Freq.	V(vout)
3.54813389233575e+000	-1.19084345423004e-010,-5.03520549520378e-011
3.98107170553496e+000	-1.26938943178214e-010,-4.09919139890252e-011
4.46683592150962e+000	-1.33041221978270e-010,-3.02648708332504e-011
5.01187233627271e+000	-1.37099669723205e-010,-1.85511819888282e-011
5.62341325190348e+000	-1.38925271329541e-010,-6.29218879701705e-012
6.30957344480192e+000	-1.38441607469661e-010,6.03768129780195e-012
7.07945784384136e+000	-1.35688777044167e-010,1.79585642764354e-011
7.94328234724279e+000	-1.30822417876767e-010,2.90128626457381e-011
8.91250938133743e+000	-1.24107155092413e-010,3.87938074945895e-011
9.99999999999997e+000	-1.15902259931340e-010,4.69742637852502e-011
1.12201845430196e+001	-1.06637410173383e-010,5.33327147935007e-011
1.25892541179416e+001	-9.67785955326465e-011,5.77713913389986e-011
1.41253754462275e+001	-8.67876007269407e-011,6.03214596305620e-011
1.58489319246111e+001	-7.70814483724472e-011,6.11325432971942e-011
1.77827941003892e+001	-6.79990928008423e-011,6.04477710355315e-011
1.99526231496887e+001	-5.97809891554465e-011,5.85692636400340e-011
2.23872113856833e+001	-5.25637316505793e-011,5.58209357007929e-011
2.51188643150957e+001	-4.63883002864328e-011,5.25151590283824e-011
2.81838293126444e+001	-4.12178894394458e-011,4.89277860328982e-011
3.16227766016837e+001	-3.69603407840802e-011,4.52833405517154e-011
3.54813389233574e+001	-3.34906653123460e-011,4.17497963634000e-011
3.98107170553496e+001	-3.06704612376998e-011,3.84407980631843e-011
4.46683592150961e+001	-2.83626347035833e-011,3.54225561332681e-011
5.01187233627270e+001	-2.64412498789793e-011,3.27228291957710e-011
5.62341325190347e+001	-2.47972854401436e-011,3.03401081411735e-011
6.30957344480191e+001	-2.33414511493572e-011,2.82519991485753e-011
7.07945784384135e+001	-2.20050932471392e-011,2.64225531070580e-011
7.94328234724278e+001	-2.07397987803228e-011,2.48086986135495e-011
8.91250938133742e+001	-1.95158691109964e-011,2.33659516580838e-011
9.99999999999995e+001	-1.83196119380507e-011,2.20533142802634e-011
1.12201845430196e+002	-1.71495055254675e-011,2.08369771384419e-011
1.25892541179416e+002	-1.60116316676513e-011,1.96923542793690e-011
1.41253754462275e+002	-1.49151169791029e-011,1.86042140424711e-011
1.58489319246111e+002	-1.38684204369878e-011,1.75651300486399e-011
1.77827941003891e+002	-1.28770652878636e-011,1.65729163820629e-011
1.99526231496887e+002	-1.19429465000156e-011,1.56279030595546e-011
2.23872113856833e+002	-1.10648787958455e-011,1.47307769912082e-011
2.51188643150957e+002	-1.02397819376666e-011,1.38813576337350e-011
2.81838293126444e+002	-9.46389884867467e-012,1.30782791983206e-011
3.16227766016836e+002	-8.73364791626530e-012,1.23192742580458e-011
3.54813389233574e+002	-8.04599222378209e-012,1.16016715355840e-011
3.98107170553495e+002	-7.39843464340668e-012,1.09228108817551e-011
4.46683592150961e+002	-6.78884319422647e-012,1.02802510041509e-011
5.01187233627270e+002	-6.21527907995772e-012,9.67179702313287e-012
5.62341325190346e+002	-5.67590425774147e-012,9.09544296430719e-012
6.30957344480190e+002	-5.16896112452084e-012,8.54931088692727e-012
7.07945784384134e+002	-4.69278325737265e-012,8.03161943137966e-012
7.94328234724277e+002	-4.24580564143484e-012,7.54067633305050e-012
8.91250938133740e+002	-3.82656526873857e-012,7.07487877929697e-012
9.99999999999994e+002	-3.43369618007961e-012,6.63271234751158e-012
1.12201845430196e+003	-3.06592407702836e-012,6.21274759935332e-012
1.25892541179416e+003	-2.72206217626833e-012,5.81363624663733e-012
1.41253754462275e+003	-2.40100789695121e-012,5.43410800898170e-012
1.58489319246110e+003	-2.10173986602304e-012,5.07296826070248e-012
1.77827941003891e+003	-1.82331510867170e-012,4.72909635796339e-012
1.99526231496887e+003	-1.56486641193876e-012,4.40144466790792e-012
2.23872113856832e+003	-1.32559979862571e-012,4.08903839675010e-012
2.51188643150956e+003	-1.10479199165859e-012,3.79097632203483e-012
2.81838293126443e+003	-9.01787701954760e-013,3.50643253477461e-012
3.16227766016836e+003	-7.15996512150664e-013,3.23465929574148e-012
3.54813389233573e+003	-5.46889047384267e-013,2.97499109356849e-012
3.98107170553494e+003	-3.93992022815092e-013,2.72684994847069e-012
4.46683592150960e+003	-2.56881637656627e-013,2.48975191944362e-012
5.01187233627269e+003	-1.35174655078162e-013,2.26331462428388e-012
5.62341325190345e+003	-2.85163857206890e-014,2.04726534571258e-012
6.30957344480189e+003	6.34352828188206e-014,1.84144894738396e-012
7.07945784384133e+003	1.41030634094351e-013,1.64583434274204e-012
7.94328234724276e+003	2.04654233686763e-013,1.46051765505254e-012
8.91250938133739e+003	2.54756422024145e-013,1.28571953946171e-012
9.99999999999992e+003	2.91889186352246e-013,1.12177355908237e-012
1.12201845430195e+004	3.16743856555380e-013,9.69102291974396e-013
1.25892541179416e+004	3.30186069029763e-013,8.28178391940892e-013
1.41253754462274e+004	3.33281365320033e-013,6.99469568046270e-013
1.58489319246110e+004	3.27303387348204e-013,5.83369642324621e-013
1.77827941003891e+004	3.13716945436008e-013,4.80122239028742e-013
