Freq.	V(vout)
9.99999999999997e+00	-2.18313448462353e-10,-2.12869495328858e-10
1.12201845430196e+01	-2.44143200304258e-10,-2.11415586831750e-10
1.25892541179416e+01	-2.69842404254885e-10,-2.07117179220985e-10
1.41253754462275e+01	-2.94963931717829e-10,-2.00083990147285e-10
1.58489319246111e+01	-3.19154620058470e-10,-1.90490521886074e-10
1.77827941003892e+01	-3.42159333854830e-10,-1.78522970829855e-10
1.99526231496887e+01	-3.63798682715066e-10,-1.64332677322044e-10
2.23872113856833e+01	-3.83927053802311e-10,-1.48007849657652e-10
2.51188643150957e+01	-4.02381988010910e-10,-1.29570591722548e-10
2.81838293126444e+01	-4.18937678549114e-10,-1.09000558960045e-10
3.16227766016837e+01	-4.33274717408086e-10,-8.62808422676040e-11
3.54813389233574e+01	-4.44975312568848e-10,-6.14565774754007e-11
3.98107170553496e+01	-4.53548143650344e-10,-3.46931376555889e-11
4.46683592150961e+01	-4.58480407074676e-10,-6.31972829754675e-12
5.01187233627270e+01	-4.59307903818467e-10,2.31533749384239e-11
5.62341325190347e+01	-4.55689247793907e-10,5.30500622642984e-11
6.30957344480191e+01	-4.47468972183767e-10,8.25748632562213e-11
7.07945784384135e+01	-4.34716806058186e-10,1.10882487782158e-10
7.94328234724278e+01	-4.17735802207961e-10,1.37157549214520e-10
8.91250938133741e+01	-3.97038801884489e-10,1.60690086271563e-10
9.99999999999995e+01	-3.73299217030788e-10,1.80934425124508e-10
1.12201845430196e+02	-3.47286610422559e-10,1.97543669767563e-10
1.25892541179416e+02	-3.19798830060112e-10,2.10378134924685e-10
1.41253754462275e+02	-2.91600475074335e-10,2.19491207825966e-10
1.58489319246111e+02	-2.63373686435502e-10,2.25098811061732e-10
1.77827941003891e+02	-2.35683746039995e-10,2.27538758096111e-10
1.99526231496887e+02	-2.08959979641615e-10,2.27225203598754e-10
2.23872113856833e+02	-1.83491696810337e-10,2.24602592961330e-10
2.51188643150957e+02	-1.59438215703607e-10,2.20103421080364e-10
2.81838293126444e+02	-1.36850705747158e-10,2.14114007069478e-10
3.16227766016836e+02	-1.15701983690541e-10,2.06951531154446e-10
3.54813389233574e+02	-9.59194245163111e-11,1.98853684279875e-10
3.98107170553495e+02	-7.74163545718164e-11,1.89980167571396e-10
4.46683592150961e+02	-6.01184481721224e-11,1.80423782774238e-10
5.01187233627270e+02	-4.39830335240182e-11,1.70228277215126e-10
5.62341325190346e+02	-2.90102609379710e-11,1.59410124909314e-10
6.30957344480190e+02	-1.52457545393340e-11,1.47981524114026e-10
7.07945784384134e+02	-2.77499950607135e-12,1.35971858940630e-10
7.94328234724277e+02	8.28941577550412e-12,1.23444924612338e-10
8.91250938133740e+02	1.78255826763854e-11,1.10509701740586e-10
9.99999999999994e+02	2.57222182371735e-11,9.73234818127392e-11
1.12201845430196e+03	3.18977594433597e-11,8.40874284351130e-11
1.25892541179416e+03	3.63160503618875e-11,7.10357988532234e-11
1.41253754462275e+03	3.89969033074810e-11,5.84207846370980e-11
1.58489319246110e+03	4.00207671557592e-11,4.64952172287838e-11
1.77827941003891e+03	3.95276343211185e-11,3.54952744796065e-11
1.99526231496887e+03	3.77110215299408e-11,2.56248685851682e-11
2.23872113856832e+03	3.48081944972621e-11,1.70427182497044e-11
2.51188643150956e+03	3.10876868323639e-11,9.85249301045690e-12
2.81838293126443e+03	2.68347707980642e-11,4.09618404243514e-12
3.16227766016836e+03	2.23352826428706e-11,-2.48927039936961e-13
3.54813389233573e+03	1.78584162249108e-11,-3.26896823225849e-12
3.98107170553494e+03	1.36397263187559e-11,-5.10707077045666e-12
4.46683592150960e+03	9.86623003575937e-12,-5.95160633034668e-12
5.01187233627269e+03	6.66573286769892e-12,-6.01977327779462e-12
5.62341325190345e+03	4.10215571576004e-12,-5.53825644932350e-12
6.30957344480189e+03	2.17779022264177e-12,-4.72343118078732e-12
7.07945784384133e+03	8.42272686501416e-13,-3.76386448858117e-12
7.94328234724276e+03	6.87449205846201e-15,-2.80760373493652e-12
8.91250938133739e+03	-4.38287102343507e-13,-1.95593658105366e-12
9.99999999999992e+03	-6.07043650700738e-13,-1.26407826840820e-12
1.12201845430195e+04	-6.02772564052731e-13,-7.47870715934591e-13
1.25892541179416e+04	-5.08794630383436e-13,-3.94438533756096e-13
1.41253754462274e+04	-3.84320083942754e-13,-1.74176835293276e-13
1.58489319246110e+04	-2.65376008565855e-13,-5.15973834019901e-14
1.77827941003891e+04	-1.69170852353448e-13,6.67110453690805e-15
1.99526231496886e+04	-9.99685243507836e-14,2.73622780935864e-14
2.23872113856832e+04	-5.47671962582182e-14,2.91788547914354e-14
2.51188643150956e+04	-2.76997229160137e-14,2.35614879724793e-14
2.81838293126443e+04	-1.27892093304715e-14,1.65058269171047e-14
3.16227766016835e+04	-5.24749887306374e-15,1.05291030262884e-14
3.54813389233572e+04	-1.77792717335996e-15,6.26654787128093e-15
3.98107170553494e+04	-3.62473884959348e-16,3.53229356547875e-15
4.46683592150959e+04	1.14086589191041e-16,1.90568536554709e-15
5.01187233627268e+04	2.10998219175456e-16,9.91974623045723e-16
5.62341325190344e+04	1.81462346943531e-16,5.01408265983253e-16
6.30957344480187e+04	1.26648368164000e-16,2.47400223629193e-16
7.07945784384131e+04	7.97469454667481e-17,1.19673999553280e-16
7.94328234724274e+04	4.71864085565407e-17,5.69548516383520e-17
8.91250938133737e+04	2.67823267646670e-17,2.67454601240370e-17
9.99999999999990e+04	1.47593809768101e-17,1.24214521795528e-17
1.12201845430195e+05	7.95933547846411e-18,5.71613610329369e-18
1.25892541179415e+05	4.22290907010700e-18,2.61013675428489e-18
1.41253754462274e+05	2.21282565012428e-18,1.18390365224818e-18
1.58489319246110e+05	1.14846235751921e-18,5.33800163456936e-19
