Freq.	V(vout)
5.01187233627271e+000	-1.30093640741224e-010,-7.04162620363134e-011
5.62341325190348e+000	-1.40979905702108e-010,-6.17480410305488e-011
6.30957344480192e+000	-1.50342669772648e-010,-5.12268847504843e-011
7.07945784384136e+000	-1.57787853962056e-010,-3.91774249016159e-011
7.94328234724279e+000	-1.63017207644199e-010,-2.60091718803123e-011
8.91250938133743e+000	-1.65843536763023e-010,-1.21855330123723e-011
9.99999999999997e+000	-1.66196345775382e-010,1.80658959709799e-012
1.12201845430196e+001	-1.64120815257790e-010,1.54849140517820e-011
1.25892541179416e+001	-1.59771994651227e-010,2.83980272925556e-011
1.41253754462275e+001	-1.53404102307585e-010,4.01506253016802e-011
1.58489319246111e+001	-1.45353381491000e-010,5.04272664524381e-011
1.77827941003892e+001	-1.36013189619635e-010,5.90119956145256e-011
1.99526231496887e+001	-1.25802065365479e-010,6.57996987282952e-011
2.23872113856833e+001	-1.15128460052380e-010,7.07954488358863e-011
2.51188643150957e+001	-1.04358014212476e-010,7.41006031634026e-011
2.81838293126444e+001	-9.37893902267964e-011,7.58879634033880e-011
3.16227766016837e+001	-8.36425544672716e-011,7.63712489606432e-011
3.54813389233574e+001	-7.40600470202645e-011,7.57751957917273e-011
3.98107170553496e+001	-6.51186569982318e-011,7.43115999391665e-011
4.46683592150961e+001	-5.68470844661856e-011,7.21643404965390e-011
5.01187233627270e+001	-4.92448420636033e-011,6.94838903627208e-011
5.62341325190347e+001	-4.22984483177028e-011,6.63897925703235e-011
6.30957344480191e+001	-3.59923609084986e-011,6.29783116501464e-011
7.07945784384135e+001	-3.03137095681084e-011,5.93319548783930e-011
7.94328234724278e+001	-2.52514717250733e-011,5.55277533622191e-011
8.91250938133742e+001	-2.07920316652098e-011,5.16420636347693e-011
9.99999999999995e+001	-1.69137530357778e-011,4.77510367535200e-011
1.12201845430196e+002	-1.35830384979090e-011,4.39274109749632e-011
1.25892541179416e+002	-1.07534127001538e-011,4.02353935163410e-011
1.41253754462275e+002	-8.36785435469744e-012,3.67257288364550e-011
1.58489319246111e+002	-6.36347156754388e-012,3.34325925110566e-011
1.77827941003891e+002	-4.67705485094541e-012,3.03730372908385e-011
1.99526231496887e+002	-3.25011535267487e-012,2.75488092473054e-011
2.23872113856833e+002	-2.03250068250460e-012,2.49497739907114e-011
2.51188643150957e+002	-9.84264506729299e-013,2.25580281200642e-011
2.81838293126444e+002	-7.59196532776658e-014,2.03519084191228e-011
3.16227766016836e+002	7.12551284486587e-013,1.83093754409025e-011
3.54813389233574e+002	1.39348289948773e-012,1.64105046710288e-011
3.98107170553495e+002	1.97369197360570e-012,1.46390115096497e-011
4.46683592150961e+002	2.45666337957119e-012,1.29828691574577e-011
5.01187233627270e+002	2.84447633316358e-012,1.14341729696844e-011
5.62341325190346e+002	3.13928207170484e-012,9.98847082873974e-012
6.30957344480190e+002	3.34425029434380e-012,8.64380918004962e-012
7.07945784384134e+002	3.46400744595392e-012,7.39972865433934e-012
7.94328234724277e+002	3.50467119960926e-012,6.25638559967031e-012
8.91250938133740e+002	3.47362549481976e-012,5.21389648351508e-012
9.99999999999994e+002	3.37917905841994e-012,4.27192567332603e-012
1.12201845430196e+003	3.23021993401436e-012,3.42948020042150e-012
1.25892541179416e+003	3.03593406046609e-012,2.68484337396033e-012
1.41253754462275e+003	2.80560910121720e-012,2.03557200787420e-012
1.58489319246110e+003	2.54850528200378e-012,1.47849672195574e-012
1.77827941003891e+003	2.27375217125394e-012,1.00969484161770e-012
1.99526231496887e+003	1.99022948021088e-012,6.24438935692995e-013
2.23872113856832e+003	1.70640744597898e-012,3.17147281199219e-013
2.51188643150956e+003	1.43014610230160e-012,8.13681024883289e-014
2.81838293126443e+003	1.16847013189153e-012,-9.01792551518381e-014
3.16227766016836e+003	9.27342317982486e-013,-2.05495944106265e-013
3.54813389233573e+003	7.11457872508975e-013,-2.73127149392886e-013
3.98107170553494e+003	5.24080340796693e-013,-3.01921960679621e-013
