Freq.	V(vout)
1.77827941003892e+001	-1.13187198265771e-010,-7.64368679816221e-012
1.99526231496887e+001	-1.13392965025087e-010,-3.10103719966594e-012
2.23872113856833e+001	-1.13324466174296e-010,1.32748096291338e-012
2.51188643150957e+001	-1.13017377712174e-010,5.71089903828429e-012
2.81838293126444e+001	-1.12470648523443e-010,1.01259215220519e-011
3.16227766016837e+001	-1.11645191283962e-010,1.46420482741333e-011
3.54813389233574e+001	-1.10468529859262e-010,1.93064793015836e-011
3.98107170553496e+001	-1.08845447578488e-010,2.41314685967572e-011
4.46683592150961e+001	-1.06673321461836e-010,2.90867830017870e-011
5.01187233627270e+001	-1.03859503712417e-010,3.40991376570623e-011
5.62341325190347e+001	-1.00337312571174e-010,3.90589632589304e-011
6.30957344480191e+001	-9.60773605146231e-011,4.38330021347875e-011
7.07945784384135e+001	-9.10921969774699e-011,4.82796981711586e-011
7.94328234724278e+001	-8.54342041312138e-011,5.22637974135932e-011
8.91250938133742e+001	-7.91885931543420e-011,5.56672954985527e-011
9.99999999999995e+001	-7.24644003053201e-011,5.83955540711067e-011
1.12201845430196e+002	-6.53861637026295e-011,6.03792795200455e-011
1.25892541179416e+002	-5.80876963870951e-011,6.15742532860069e-011
1.41253754462275e+002	-5.07077975083863e-011,6.19607573930508e-011
1.58489319246111e+002	-4.33866833335033e-011,6.15437201458410e-011
1.77827941003891e+002	-3.62618145712769e-011,6.03533697601610e-011
1.99526231496887e+002	-2.94625071786644e-011,5.84453432022544e-011
2.23872113856833e+002	-2.31036906349538e-011,5.58991167171497e-011
2.51188643150957e+002	-1.72798534251308e-011,5.28141760189061e-011
2.81838293126444e+002	-1.20603356883060e-011,4.93041012214485e-011
3.16227766016836e+002	-7.48680509739442e-012,4.54893136004611e-011
3.54813389233574e+002	-3.57326124743833e-012,4.14894740698314e-011
3.98107170553495e+002	-3.08464025089014e-013,3.74165067522759e-011
4.46683592150961e+002	2.33966836405328e-012,3.33690631520146e-011
5.01187233627270e+002	4.41840956309775e-012,2.94289963286519e-011
5.62341325190346e+002	5.98420772074140e-012,2.56600821475812e-011
6.30957344480190e+002	7.09720167575488e-012,2.21088292952645e-011
7.07945784384134e+002	7.81699620638724e-012,1.88068415594894e-011
7.94328234724277e+002	8.20007401937955e-012,1.57739452011467e-011
8.91250938133740e+002	8.29879337204372e-012,1.30212558276717e-011
9.99999999999994e+002	8.16154160465693e-012,1.05535488508574e-011
1.12201845430196e+003	7.83340644541633e-012,8.37064996052031e-012
1.25892541179416e+003	7.35674950070604e-012,6.46795111289868e-012
1.41253754462275e+003	6.77129391571752e-012,4.83644413088643e-012
1.58489319246110e+003	6.11366603885223e-012,3.46275291829246e-012
1.77827941003891e+003	5.41661996391046e-012,2.32952613673929e-012
1.99526231496887e+003	4.70831251039133e-012,1.41630153392043e-012
2.23872113856832e+003	4.01194826438284e-012,7.00695031659653e-013
