Freq.	V(vout)
4.46683592150959e+004	5.79651375254115e-019,5.53185650885409e-018
5.01187233627268e+004	6.94851794812951e-019,1.61557567131682e-018
5.62341325190344e+004	3.43800968617800e-019,4.22540160975604e-019
6.30957344480187e+004	1.33497532509685e-019,9.83741606462201e-020
7.07945784384131e+004	4.57252688355992e-020,1.96181290033098e-020
7.94328234724274e+004	1.44659887425263e-020,2.88855023665247e-021
8.91250938133737e+004	4.33059325247547e-021,3.87236669793108e-023
9.99999999999990e+004	1.24503004364791e-021,-2.01830294923492e-022
1.12201845430195e+005	3.47172159591387e-022,-1.12525946263211e-022
1.25892541179415e+005	9.45531943383688e-023,-4.57635258920131e-023
1.41253754462274e+005	2.52802442522856e-023,-1.63522763277275e-023
1.58489319246110e+005	6.66026088382867e-024,-5.44088814130185e-024
1.77827941003891e+005	1.73386038947368e-024,-1.73078372676446e-024
1.99526231496886e+005	4.46923562742012e-025,-5.34015494074811e-025
2.23872113856832e+005	1.14227784819694e-025,-1.61222712644608e-025
2.51188643150955e+005	2.89756710670258e-026,-4.79040356175218e-026
2.81838293126442e+005	7.29836759637649e-027,-1.40645457111608e-026
3.16227766016835e+005	1.82542996501309e-027,-4.09191056034149e-027
3.54813389233572e+005	4.53175606730178e-028,-1.18217135019815e-027
3.98107170553493e+005	1.11560005209012e-028,-3.39675265611318e-028
4.46683592150958e+005	2.71873602806038e-029,-9.71818215256500e-029
5.01187233627267e+005	6.54174000453524e-030,-2.77095104425886e-029
5.62341325190343e+005	1.54771498955288e-030,-7.87929341271297e-030
6.30957344480186e+005	3.57674432436315e-031,-2.23552881854684e-030
7.07945784384130e+005	7.98428966968661e-032,-6.33098221249246e-031
7.94328234724273e+005	1.68639501119247e-032,-1.79009912285060e-031
8.91250938133736e+005	3.22269855744369e-033,-5.05448955569154e-032
1.00000000000000e+006	4.88962140589089e-034,-1.42533751229414e-032
