Freq.	V(vout)
6.30957344480192e+000	-1.77730301741512e-010,-1.22303107748315e-010
7.07945784384136e+000	-1.98636521464489e-010,-1.12467638187997e-010
7.94328234724279e+000	-2.18330860838402e-010,-9.85900177872626e-011
8.91250938133743e+000	-2.35840774652321e-010,-8.08045061148515e-011
9.99999999999997e+000	-2.50229584973419e-010,-5.95071981214106e-011
1.12201845430196e+001	-2.60673328361565e-010,-3.53358231029717e-011
1.25892541179416e+001	-2.66523206726317e-010,-9.12810077344221e-012
1.41253754462275e+001	-2.67350111293489e-010,1.81318593790183e-011
1.58489319246111e+001	-2.62973165266365e-010,4.53719103552715e-011
1.77827941003892e+001	-2.53476022982232e-010,7.14925126030700e-011
1.99526231496887e+001	-2.39212330986177e-010,9.54310647799602e-011
2.23872113856833e+001	-2.20797258996174e-010,1.16231606862065e-010
2.51188643150957e+001	-1.99078615341552e-010,1.33117706414553e-010
2.81838293126444e+001	-1.75081702017395e-010,1.45560137796688e-010
3.16227766016837e+001	-1.49927690948244e-010,1.53326016219396e-010
3.54813389233574e+001	-1.24734004446857e-010,1.56495872688346e-010
3.98107170553496e+001	-1.00512862997578e-010,1.55441048258425e-010
4.46683592150961e+001	-7.80868023820296e-011,1.50763721822760e-010
5.01187233627270e+001	-5.80360847757729e-011,1.43211560981480e-010
5.62341325190347e+001	-4.06844009387318e-011,1.33584414653021e-010
6.30957344480191e+001	-2.61198497032039e-011,1.22650148992628e-010
7.07945784384135e+001	-1.42412201615921e-011,1.11081885111143e-010
7.94328234724278e+001	-4.81657754567340e-012,9.94220854981928e-011
8.91250938133742e+001	2.45820574001962e-012,8.80725032945279e-011
9.99999999999995e+001	7.91019915252819e-012,7.73043780162476e-011
1.12201845430196e+002	1.18543921722292e-011,6.72809749102889e-011
1.25892541179416e+002	1.45736349823185e-011,5.80845404927981e-011
1.41253754462275e+002	1.63110437611960e-011,4.97414606286191e-011
1.58489319246111e+002	1.72706551087633e-011,4.22420483355091e-011
1.77827941003891e+002	1.76219690560757e-011,3.55540665181346e-011
1.99526231496887e+002	1.75050741561696e-011,2.96310787221898e-011
2.23872113856833e+002	1.70346603515453e-011,2.44176414047838e-011
2.51188643150957e+002	1.63027272028778e-011,1.98532418770615e-011
2.81838293126444e+002	1.53807210542338e-011,1.58761145311171e-011
3.16227766016836e+002	1.43220466151562e-011,1.24271292812817e-011
3.54813389233574e+002	1.31655511289682e-011,9.45324531126625e-012
3.98107170553495e+002	1.19399708732119e-011,6.90975563657213e-012
4.46683592150961e+002	1.06687499134071e-011,4.76071201226042e-012
5.01187233627270e+002	9.37429941602036e-012,2.97739294390515e-012
5.62341325190346e+002	8.08078202514292e-012,1.53527081232171e-012
6.30957344480190e+002	6.81489156305598e-012,4.10415392228347e-013
7.07945784384134e+002	5.60471839872067e-012,-4.23577702353788e-013
7.94328234724277e+002	4.47737679104142e-012,-9.97313513088889e-013
8.91250938133740e+002	3.45634820033467e-012,-1.34572070304256e-012
9.99999999999994e+002	2.55935952924648e-012,-1.50687809778881e-012
1.12201845430196e+003	1.79720242004647e-012,-1.52015519902285e-012
1.25892541179416e+003	1.17347465576711e-012,-1.42424387491247e-012
1.41253754462275e+003	6.84992830525543e-013,-1.25541907792601e-012
1.58489319246110e+003	3.22619750631296e-013,-1.04612425086503e-012
1.77827941003891e+003	7.23629905955560e-014,-8.23861735160081e-013
1.99526231496887e+003	-8.33015485233438e-014,-6.10381829417969e-013
2.23872113856832e+003	-1.63913539830005e-013,-4.21225954485169e-013
2.51188643150956e+003	-1.89406737117612e-013,-2.65708964980983e-013
2.81838293126443e+003	-1.78535697014439e-013,-1.47392799330477e-013
3.16227766016836e+003	-1.47536129227887e-013,-6.50267209615256e-014
3.54813389233573e+003	-1.09186848861074e-013,-1.38435917669538e-014
