Freq.	V(vout)
3.16227766016835e+05	2.00824369559070e-21,3.97601588183935e-22
3.54813389233572e+05	1.01306291116001e-21,1.70709212125219e-22
3.98107170553493e+05	5.10293687257774e-22,7.22324695690989e-23
4.46683592150958e+05	2.56735807800797e-22,2.99535471778684e-23
5.01187233627267e+05	1.29040319493171e-22,1.20624992429166e-23
5.62341325190343e+05	6.48043468603916e-23,4.64161941530325e-24
6.30957344480186e+05	3.25214631445987e-23,1.65181261859550e-24
7.07945784384130e+05	1.63099997825596e-23,5.00401624582691e-25
7.94328234724273e+05	8.17469295068206e-24,9.00156025826716e-26
8.91250938133736e+05	4.09471944936738e-24,-3.47526061054964e-26
1.00000000000000e+06	2.04974483218046e-24,-5.75593792909486e-26
