Freq.	V(vout)
7.94328234724276e+003	-5.09184147327464e-015,-9.58569974354550e-014
8.91250938133739e+003	-1.78460067881688e-014,-6.63674394733023e-014
9.99999999999992e+003	-2.22251537890813e-014,-4.28479275634244e-014
1.12201845430195e+004	-2.13910905182321e-014,-2.54175674623985e-014
1.25892541179416e+004	-1.78722378537714e-014,-1.34733944887271e-014
1.41253754462274e+004	-1.34785748771355e-014,-5.98675129161289e-015
1.58489319246110e+004	-9.32979758889517e-015,-1.78338690566429e-015
1.77827941003891e+004	-5.97258600100588e-015,2.36621316701104e-016
1.99526231496886e+004	-3.54615421368639e-015,9.64247776861178e-016
2.23872113856832e+004	-1.95168772059335e-015,1.03315873438366e-015
2.51188643150956e+004	-9.91205550335370e-016,8.37946701540620e-016
2.81838293126443e+004	-4.59324114320499e-016,5.89132514436837e-016
3.16227766016835e+004	-1.89112619002361e-016,3.76850081536073e-016
3.54813389233572e+004	-6.43450205138602e-017,2.24745158350421e-016
3.98107170553494e+004	-1.32753705945061e-017,1.26866342453408e-016
4.46683592150959e+004	3.98901604823656e-018,6.85127790006385e-017
5.01187233627268e+004	7.54144322779859e-018,3.56868389451519e-017
5.62341325190344e+004	6.50926823882473e-018,1.80462093961869e-017
6.30957344480187e+004	4.54973611639281e-018,8.90666151296147e-018
7.07945784384131e+004	2.86702563004030e-018,4.30916592551277e-018
7.94328234724274e+004	1.69716028171159e-018,2.05106198710276e-018
8.91250938133737e+004	9.63533840153956e-019,9.63255894170663e-019
9.99999999999990e+004	5.31075494275565e-019,4.47409996073572e-019
1.12201845430195e+005	2.86423485511020e-019,2.05912554363325e-019
1.25892541179415e+005	1.51974801017026e-019,9.40376235744416e-020
1.41253754462274e+005	7.96389413745992e-020,4.26608639401670e-020
1.58489319246110e+005	4.13340144067595e-020,1.92393210348814e-020
1.77827941003891e+005	2.12934990355071e-020,8.62919477784239e-021
1.99526231496886e+005	1.09056419425280e-020,3.84970782929177e-021
2.23872113856832e+005	5.55986254273175e-021,1.70797282939541e-021
2.51188643150955e+005	2.82427123869685e-021,7.53170408428443e-022
2.81838293126442e+005	1.43055783758936e-021,3.29791035981474e-022
3.16227766016835e+005	7.22962702327895e-022,1.43167148782731e-022
3.54813389233572e+005	3.64700373152839e-022,6.14726215692431e-023
3.98107170553493e+005	1.83704745022607e-022,2.60134665107884e-023
4.46683592150958e+005	9.24244991281457e-023,1.07887933772711e-023
5.01187233627267e+005	4.64543826390834e-023,4.34560815521627e-024
5.62341325190343e+005	2.33295389711820e-023,1.67273255813324e-024
6.30957344480186e+005	1.17077392804193e-023,5.95636207652162e-025
7.07945784384130e+005	5.87162229144065e-024,1.80697025304712e-025
7.94328234724273e+005	2.94291078575518e-024,3.27155132368695e-026
8.91250938133736e+005	1.47411603703407e-024,-1.23373246234771e-026
1.00000000000000e+006	7.37920655505847e-025,-2.06242582075115e-026
