Freq.	V(vout)
8.91250938133742e+001	1.93830970419435e-012,2.11035566891848e-011
9.99999999999995e+001	2.60841619588934e-012,1.88071199750712e-011
1.12201845430196e+002	3.17626904236330e-012,1.66827033515717e-011
1.25892541179416e+002	3.64311417763330e-012,1.47078968689896e-011
1.41253754462275e+002	4.00779240759209e-012,1.28682994375540e-011
1.58489319246111e+002	4.26941036863863e-012,1.11561338441177e-011
1.77827941003891e+002	4.42907854722288e-012,9.56840925842630e-012
1.99526231496887e+002	4.49073985826808e-012,8.10499202558045e-012
2.23872113856833e+002	4.46123592031816e-012,6.76688409297984e-012
2.51188643150957e+002	4.34983625400397e-012,5.55490794986813e-012
2.81838293126444e+002	4.16748648709913e-012,4.46888458886214e-012
3.16227766016836e+002	3.92601902088302e-012,3.50727968541547e-012
3.54813389233574e+002	3.63751069126557e-012,2.66719701970687e-012
3.98107170553495e+002	3.31387206854530e-012,1.94454380674424e-012
4.46683592150961e+002	2.96664273958112e-012,1.33420398363015e-012
5.01187233627270e+002	2.60689260650779e-012,8.30126998649803e-013
5.62341325190346e+002	2.24512078705412e-012,4.25330520655787e-013
6.30957344480190e+002	1.89109075415322e-012,1.11876444481992e-013
7.07945784384134e+002	1.55360176347258e-012,-1.19111994677777e-013
7.94328234724277e+002	1.24023427277166e-012,-2.77352952066040e-013
8.91250938133740e+002	9.57111694651740e-013,-3.73223023502169e-013
9.99999999999994e+002	7.08708453507783e-013,-4.17500902895703e-013
1.12201845430196e+003	4.97723605183589e-013,-4.21053458794507e-013
1.25892541179416e+003	3.25035842227703e-013,-3.94480696988854e-013
1.41253754462275e+003	1.89754459195041e-013,-3.47740589760911e-013
1.58489319246110e+003	8.93761347655783e-014,-2.89781887933266e-013
1.77827941003891e+003	2.00479552932981e-014,-2.28218753157261e-013
1.99526231496887e+003	-2.30754304729337e-014,-1.69082693533006e-013
2.23872113856832e+003	-4.54062319543910e-014,-1.16683751565644e-013
2.51188643150956e+003	-5.24678058101195e-014,-7.36036700941111e-014
2.81838293126443e+003	-4.94561718567694e-014,-4.08289690318591e-014
3.16227766016836e+003	-4.08688950938169e-014,-1.80128698395705e-014
3.54813389233573e+003	-3.02457524120295e-014,-3.83472398807689e-015
3.98107170553494e+003	-2.00506546529937e-014,3.59175697213889e-015
4.46683592150960e+003	-1.17016782648285e-014,6.31994231234119e-015
5.01187233627269e+003	-5.72993503021508e-015,6.23826808017507e-015
5.62341325190345e+003	-2.02459111551568e-015,4.84736591669787e-015
6.30957344480189e+003	-1.07320306295878e-016,3.16436582424187e-015
7.07945784384133e+003	6.20394840844499e-016,1.74373873904260e-015
7.94328234724276e+003	6.98891115790264e-016,7.79728395552872e-016
8.91250938133739e+003	5.17907278166930e-016,2.43107300445001e-016
9.99999999999992e+003	3.01164421400880e-016,8.12866916073863e-018
1.12201845430195e+004	1.40913278480983e-016,-5.85510353351045e-017
1.25892541179416e+004	5.05585778982724e-017,-5.43180075088243e-017
1.41253754462274e+004	1.08242742727682e-017,-3.28607630770719e-017
1.58489319246110e+004	-1.75770291251556e-018,-1.53487608880922e-017
1.77827941003891e+004	-3.41645631277821e-018,-5.65161774856031e-018
1.99526231496886e+004	-2.22558916269497e-018,-1.53387768397439e-018
2.23872113856832e+004	-1.04122585183520e-018,-1.99693513262991e-019
